"States","LogLikelihood","NormalizedTrainLL","BIC","TestLL","NormalizedTestLL"
4,-9895.34253045161,-0.308266122443976,20081.2301775585,-5145.98154187794,-0.35735982929708
6,-755.499586646297,-0.0235358126681089,2071.33618398497,-1686.71893762942,-0.117133259557599
8,5157.06777416363,0.160656316952138,-9400.99375312487,1326.02581691811,0.0920851261748687
10,26532.6939507358,0.82656367447775,-51716.4284312862,7076.79534902492,0.491444121460064
12,11854.9132546943,0.369311939398576,-21842.0364737473,4081.56105074839,0.283441739635305
