"Variable","LogLikelihood","BIC","NormalizedLL"
"Global_intensity",-9895.34255795735,20081.23023257,-0.308266123300852
"Global_active_power",-18558.2559283691,37407.0569733936,-0.578138813967886
"Sub_metering_3",661930.3140561,-1323570.08299554,20.6208820578224
