"states","logLik_train","train_norm_ll","BIC","logLik_test","test_norm_ll"
4,-30655.1986034751,-1.18878499257281,61757.3327407401,-15154.4024291324,-1.31002787250453
6,451694.747934781,17.5163744497142,-902597.201059662,197989.028505413,17.1152341377431
8,283839.040383473,11.0070593858717,-566459.165674792,158410.671763388,13.6938685825889
10,460626.859182222,17.8627548447753,-919526.921983892,201245.278747233,17.3967218834053
12,470601.713346717,18.2495720070856,-938887.488018342,204865.43118541,17.709667287812
