"States","LogLikelihood","NormalizedTrainLL","BIC","TestLL","NormalizedTestLL","IsValidModel"
4,-18558.2558755751,-0.578138812323212,37407.0568678055,-8776.50404143564,-0.60947944732192,TRUE
6,-14468.224179901,-0.450723494700965,29496.7853704943,-7034.80566124696,-0.488528170919928,TRUE
8,-11964.1668971144,-0.372715479660884,24841.4755894312,-6157.64237812072,-0.427614054036161,TRUE
10,-10135.8981811076,-0.315760067947277,21620.7558324005,-5662.0499416111,-0.393197912611882,TRUE
12,-9052.93344027131,-0.282022848606583,19973.6569161839,-5316.24513980932,-0.369183690264536,TRUE
