"Variable","States","LogLikelihood","NormalizedTrainLL","BIC","TestLL","NormalizedTestLL","Notes"
"Global_intensity",4,-9895.34253045161,-0.308266122443976,20081.2301775585,-5145.98154187794,-0.35735982929708,""
"Global_active_power",4,-18558.2558755751,-0.578138812323212,37407.0568678055,-8776.50404143564,-0.60947944732192,""
"Sub_metering_3",4,38679.969546966,1.20498347498337,-77069.3939772768,19054.6306019439,1.3232382362461,"WARNING: Positive log-likelihood indicates model issues"
